id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000000,0,0267_840790,absolute_positioning,0.306239,0.996775,4,18,4,51.378670851804,0.9967753197026988,0.9950908122508971,0.9993193833878873,0.9967753197026988,True,0,1,0.6652418650082245,0,auto_term,4
sft_000001,1,0267_840790,absolute_positioning,0.306239,0.996775,3,14,3,51.20528048398506,0.9967753197026988,0.995090812250897,0.9993193833878873,0.9967753197026988,True,0,1,0.5320620603578989,0,auto_term,3
sft_000006,6,0267_840790,absolute_positioning,0.364079,0.999351,3,13,3,51.22014901229819,0.9993506013629058,0.9989183195550438,1.0,0.9993506013629058,True,0,1,0.5923323878527679,0,auto_term,3
sft_000007,7,0267_840790,absolute_positioning,0.364079,0.995104,4,20,5,0.1594426336188539,0.5985667661985608,0.9946597992338001,1.6179372562374539e-12,0.5985667661985608,False,2,0,0.24903588706614346,0,none,-1
sft_000012,12,0267_840790,absolute_positioning,0.322953,0.986095,3,13,4,-0.3644605384220524,0.49487343997924427,0.4001446582269359,0.8911993874861953,0.49487343997924427,False,3,0,0.056962280936128484,0,none,4
sft_000014,14,0267_840790,absolute_positioning,0.322953,0.99421,3,13,4,0.5965059274085565,0.8700400365550757,0.9997811376313397,0.6753689467782209,0.8700400365550757,False,2,1,0.47975578979851285,0,none,-1
sft_000015,15,0267_840790,absolute_positioning,0.322953,0.983313,3,14,3,51.18932244437278,0.9833128827983109,0.9997811376313397,0.9586029559634509,0.9833128827983109,True,0,1,0.5404438683314363,0,auto_term,3
sft_000017,17,0267_840790,absolute_positioning,0.322953,0.994471,5,21,6,-0.6464782134913448,0.3249915862829775,0.4001446582269359,0.01056642536274229,0.49487343997924427,False,4,0,0.06845002151411336,0,none,-1
sft_000019,19,0267_840790,absolute_positioning,0.322953,0.996707,5,19,5,51.147813998187665,0.9765992725197419,0.9657907772691071,0.9936049537290418,0.9765992725197419,True,1,1,0.6639766492586184,0,auto_term,5
sft_000020,20,0267_840790,absolute_positioning,0.415952,0.996839,4,20,5,-0.31422796876839765,0.41595201942402027,0.5526748777931918,1.5682648261279692e-12,0.6395243181665056,False,3,0,0.20421584193201625,0,none,5
sft_000021,21,0267_840790,absolute_positioning,0.415952,0.998973,3,14,3,51.26525190424999,0.9989726659674213,0.999486620339499,0.9982011834089648,0.9989726659674213,True,0,1,0.6802710174575065,0,auto_term,3
sft_000022,22,0267_840790,absolute_positioning,0.415952,0.988392,5,21,6,8.762671567386082e-05,0.5956983095383938,0.9480994678907796,0.027269638989728624,0.6395243181665055,False,3,0,0.3344999918008962,0,none,-1
sft_000023,23,0267_840790,absolute_positioning,0.306239,0.993407,3,14,3,51.20120044528394,0.9934065132212566,0.9891775326747337,0.9998462104581132,0.9934065132212566,True,0,1,0.5306382290637894,0,auto_term,3
